match_key,match_date,season,top_disposal_player_id,top_disposal_player_id_value,top_goal_kicker_player_id,top_goal_kicker_player_id_value,top_fantasy_player_id,top_fantasy_player_id_value
1987-04-11|3|Essendon Bombers|Richmond Tigers,1987-04-11,1987,45852.0,10.0,,,45852,77
1987-04-11|3|Geelong Cats|Melbourne Demons,1987-04-11,1987,45867.0,21.0,45596.0,1.0,45939,73
1987-04-12|3|Sydney Swans|West Coast Eagles,1987-04-12,1987,45670.0,16.0,45670.0,2.0,45670,81
1987-04-18|4|Carlton Blues|West Coast Eagles,1987-04-18,1987,45380.0,26.0,45879.0,3.0,45702,104
1987-04-18|4|Geelong Cats|North Melbourne Kangaroos,1987-04-18,1987,45867.0,12.0,,,45867,44
1987-04-18|4|Melbourne Demons|St Kilda Saints,1987-04-18,1987,45679.0,20.0,45679.0,12.0,45679,172
1987-04-19|4|Brisbane Bears|Fitzroy Lions,1987-04-19,1987,45840.0,16.0,,,45840,60
1987-04-20|4|Collingwood Magpies|Richmond Tigers,1987-04-20,1987,45386.0,14.0,,,45386,59
1987-04-20|4|Essendon Bombers|Sydney Swans,1987-04-20,1987,45852.0,13.0,,,45852,75
1987-04-24|5|North Melbourne Kangaroos|St Kilda Saints,1987-04-24,1987,45679.0,13.0,45679.0,5.0,45679,91
1987-04-25|5|Carlton Blues|Essendon Bombers,1987-04-25,1987,45380.0,16.0,45852.0,1.0,45852,84
1987-04-25|5|Collingwood Magpies|Western Bulldogs,1987-04-25,1987,45386.0,24.0,45386.0,1.0,45386,95
1987-04-25|5|Fitzroy Lions|Geelong Cats,1987-04-25,1987,45867.0,25.0,45867.0,2.0,45867,95
1987-04-25|5|Hawthorn Hawks|West Coast Eagles,1987-04-25,1987,45702.0,26.0,45670.0,2.0,45702,105
1987-04-26|5|Brisbane Bears|Melbourne Demons,1987-04-26,1987,45698.0,16.0,45698.0,1.0,45698,75
